"Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200"
"Gene1",0,0,0,0,0,0,0,0,0,0,0,17.9423691104173,17.7245254258317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene2",0,0,0,0,0,0,79.0488838297603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.457517190516,0,0,0,0,0,0,0,0,0,66.0687445286821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.002708440085,0,0,0,65.4099239936683,32.7933363940447,0,0,0,0,99.2142233510596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3914648476088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.018579195622,0,0,0,0,0,35.5947889229017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.910489835174,0,39.4150802096882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.374541003672,0,0,0,0,0,0,0
"Gene3",336.272058716026,0,0,179.0670606142,81.662651586297,0,0,0,0,0,131.779589224195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.015761660613,0,0,274.197970935015,0,0,0,0,0,285.927946157568,0,0,0,0,0,136.276914690651,0,0,0,0,0,0,0,0,0,0,0,0,145.35487354126,0,0,0,68.0253598541536,0,0,0,0,198.064252043363,232.101787183761,0,0,125.543367386972,0,0,0,0,130.819847987337,0,117.569601203913,188.30175356008,292.691085465797,231.66738740965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.920626571771,189.776236564705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5101914762199,0,0,0,0,58.8269898229308,0,0,0,0,96.8748183597156,0,0,0,0,0,0,0,0,0,67.5128274372131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.481239804241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.844737785823,0,0,0,0,0,0,0,0,0,0,0,0,0,203.210729526519,0,0,0,0,0
"Gene4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1957533186619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6180816924845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.4637849686569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.8851716765187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7633716495604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene6",292.410485840022,0,217.595299941521,0,0,0,0,0,0,667.425104285173,0,143.538952883339,0,0,0,0,0,0,165.823729375674,68.042254239883,0,0,0,430.808421368098,0,0,0,151.18300703001,214.992116955712,0,0,0,0,0,167.101129603636,612.027674294838,0,0,0,0,362.728572343013,0,0,458.42742414724,0,0,0,397.719740156436,0,0,0,0,463.018281754092,0,200.489193632463,458.853499153494,528.549956229457,0,365.073229394837,0,471.813841130843,0,0,382.678992119205,0,88.9165518161206,488.558488373628,0,0,305.311085447281,329.551339390801,0,0,0,354.689366786141,0,338.864476071796,0,0,376.317109884596,0,476.228272085086,249.462097352583,0,0,0,0,263.06943571606,216.473644333802,0,0,190.650499504309,432.997387084733,0,358.308782546381,0,0,293.290547418181,0,0,0,0,0,0,0,312.332121484702,0,0,0,0,381.322147883662,0,0,0,286.767130751473,0,0,528.057452650848,0,625,0,0,0,251.497891855907,540.457072266831,322.355901712646,270.626229094124,0,0,0,191.464919371995,266.624006825575,0,0,0,308.294947589859,643.260292164675,0,0,125.684531825119,0,0,0,0,0,275.898120988587,0,253.466527508573,0,0,0,311.747908171536,0,0,0,0,0,0,0,0,545.689644945846,431.915690057301,438.676658746116,427.628520963094,424.120328996198,0,0,0,0,0,0,0,0,0,482.690711099956,437.117522168103,0,0,0,0,426.919858604143,0,298.36981582445,0,0,0,280.166638243964,492.979024537633,0,0,0,470.260712539032,0,0,0,411.418444205329,0,179.759122775481,0,0
"Gene7",0,0,367.192068651317,0,0,406.951331635191,316.195535319041,0,0,0,0,592.098180643772,0,0,0,284.58138078886,0,0,298.482712876213,0,0,261.913198884558,0,0,0,0,372.295043822229,340.161765817522,0,301.5958353549,0,0,0,0,0,0,395.882818685669,0,0,390.411493714375,0,0,0,0,204.415372035977,0,173.532027504826,0,0,0,0,0,0,352.803375622698,0,237.338016803532,0,0,0,0,0,0,276.09818051299,0,468.504767036005,0,0,0,0,0,0,366.00541688017,0,0,0,0,0,0,0,0,0,0,0,316.841721717916,0,295.961968886998,0,0,0,0,331.733640002654,0,0,364.30403357426,248.825543434987,307.584146234291,0,0,0,0,0,314.425858382593,0,0,0,249.865697187762,0,256.281958970479,280.216700915375,0,0,336.707005486344,0,0,0,0,251.118261006043,164.284540824708,551.200391964723,0,0,0,0,0,0,0,0,0,0,0,361.655958813768,0,0,0,0,435.239926009213,0,0,0,0,0,0,421.624660357912,0,0,188.772398571138,0,0,0,0,0,0,0,0,0,0,0,0,455.296617314762,0,0,0,0,371.850887793995,0,0,0,0,0,0,0,0,0,0,0,171.724740851755,0,0,0,0,0,0,461.116988092332,0,0,446.722967942309,0,0,0,0,0,0,172.123623011016,0,0,253.180581049433,0,0,0,0
"Gene8",818.749360352062,0,0,0,0,0,0,0,0,0,715.374912931343,0,886.226271291586,821.823712680617,0,0,0,0,0,544.338033919064,0,647.079667832437,0,0,637.284011413177,0,604.979446211122,0,0,406.498734608778,0,0,0,0,802.085422097453,0,0,336.753694386118,637.839264505345,0,0,0,346.88921990736,730.088119938197,449.71381847915,0,520.596082514479,397.719740156436,0,0,0,713.474621406249,0,0,0,965.174601667695,528.549956229457,643.714439968437,343.598333548082,0,0,0,0,777.316702742134,609.056197146806,0,0,0,0,0,0,677.110021228314,531.873289010559,0,0,457.869467955678,819.833409851118,0,917.97104860539,0,0,0,873.117340734042,269.315463460228,0,0,657.851457140978,453.06402817766,400.476242017534,589.872624380173,0,0,313.549832026876,0,507.604108607373,856.841550224097,0,362.300087987164,0,0,0,0,495.819039451115,328.137817883511,0,299.838836625314,633.986188158044,1049.53564149815,0,0,0,0,0,0,673.902757265962,0,423.762065447697,539.792062709756,783.929446349828,0,0,408.425951137404,0,0,0,748.697578171306,793.836938676097,0,0,764.7508676981,340.382078883547,799.872020476724,462.221126586959,0,0,670.994885930869,0,0,0,0,0,0,0,0,634.620577909803,0,0,477.113463545549,777.024453416622,542.860876820846,0,573.616151035627,0,0,0,577.683186378839,481.811611659841,0,0,0,533.826826577458,403.121310720147,310.729299945165,0,484.708947424226,0,0,0,0,0,839.579294448091,0,559.880077299572,662.707745884065,695.074623983936,0,540.315235345879,0,571.41302277489,764.710617403204,0,0,0,0,0,0,0,0,0,0,0,1203.86742409992,0,0,0,0,0,0,0,0
"Gene9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.315051080458,0,46.929996089167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.293774772674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.756958714739,0,0,0,0,0,0,0,0,0,0,0,32.0107556138863,0,0,0,0,0,0,0,120.435172423022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.638995922337,0,0,0,0,0,0,0,0,0,0,73.112776457686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gene10",0,0,0,0,0,211.011801588617,31.6195535319041,0,0,0,0,0,0,331.182690184726,0,0,0,0,0,0,159.718894745248,0,0,149.846407432382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.91686095104,0,0,0,0,0,0,0,151.840524066723,0,403.573870833941,0,0,0,0,0,0,0,247.757791982558,0,0,0,0,0,0,0,0,0,0,0,287.769784172662,0,0,0,0,0,0,0,0,0,0,292.691085465797,0,0,0,0,0,92.4881152771869,0,0,0,0,0,266.910699306032,0,247.726742830497,0,109.851480797961,328.736501257417,0,0,0,0,0,254.609777015437,0,0,199.892557750209,249.06600249066,0,186.811133943583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.557955470079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.729598707245,0,0,0,0,0,174.251444834897,177.973944614508,0,121.886188771235,0,0,286.808075517813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.767943441657,0,0,0,165.217083446428,0,0,0,0,486.494901533432,0,0,0,0,0,0,0,0,0,0
